date,direction,range_high,range_low,range_size,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,balance
2026-01-05,long,25506.4,25372.9,133.5,25507.15,25372.9,25640.65,25461.15,FORCE_CLOSE,-53.37,9946.63
2026-01-06,long,25591.15,25441.4,149.75,25594.15,25441.4,25743.9,25592.4,FORCE_CLOSE,-3.24,9943.39
2026-01-07,long,25713.0,25606.75,106.25,25714.65,25606.75,25820.9,25820.9,TARGET,147.05,10090.44
2026-01-09,short,25637.1,25496.35,140.75,25489.6,25637.1,25348.85,25637.1,STOP,-160.23,9930.21
2026-01-13,short,25893.95,25781.5,112.45,25780.4,25893.95,25667.95,25667.95,TARGET,146.97,10077.17
2026-01-15,short,25810.35,25697.35,113.0,25682.0,25810.35,25569.0,25711.25,FORCE_CLOSE,-41.13,10036.04
2026-01-19,long,25183.6,25101.7,81.9,25200.35,25101.7,25282.25,25282.25,TARGET,147.78,10183.82
2026-01-20,long,25235.85,25101.85,134.0,25252.35,25101.85,25386.35,25160.1,FORCE_CLOSE,-106.87,10076.95
2026-01-23,long,25541.2,25440.5,100.7,25589.25,25440.5,25689.95,25689.95,TARGET,148.9,10225.85
2026-01-26,long,25735.2,25587.7,147.5,25752.95,25587.7,25900.45,25772.2,FORCE_CLOSE,18.46,10244.31
2026-01-27,long,25945.3,25802.25,143.05,25952.0,25802.25,26095.05,25946.5,FORCE_CLOSE,-7.52,10236.79
2026-01-28,short,26187.6,26100.4,87.2,26081.4,26187.6,25994.2,25994.2,TARGET,150.91,10387.7
2026-01-30,short,25833.2,25698.9,134.3,25686.95,25833.2,25552.65,25573.95,FORCE_CLOSE,129.36,10517.07
2026-02-16,long,24720.75,24631.4,89.35,24725.9,24631.4,24815.25,24631.4,STOP,-169.5,10347.57
2026-03-04,long,24951.1,24806.9,144.2,24974.15,24806.9,25118.35,25118.35,TARGET,153.6,10501.17
2026-03-06,long,24721.65,24592.05,129.6,24746.9,24592.05,24876.5,24876.5,TARGET,155.69,10656.86
2026-03-10,short,25071.6,24938.6,133.0,24892.25,25071.6,24759.25,25071.6,STOP,-217.36,10439.5
2026-03-11,long,25110.5,25008.2,102.3,25115.1,25008.2,25217.4,25008.2,STOP,-165.93,10273.57
2026-03-16,long,24748.7,24633.45,115.25,24760.95,24633.45,24876.2,24633.45,STOP,-172.49,10101.08
2026-03-18,short,24791.6,24698.55,93.05,24687.0,24791.6,24593.95,24641.8,FORCE_CLOSE,71.16,10172.24
2026-03-30,short,23357.25,23324.75,32.5,23322.0,23357.25,23289.5,23357.25,STOP,-172.54,9999.7
2026-03-31,short,23270.8,23204.05,66.75,23201.05,23270.8,23134.3,23270.8,STOP,-160.11,9839.59
2026-04-02,long,23593.15,23547.45,45.7,23597.5,23547.45,23643.2,23643.2,TARGET,142.75,9982.34
2026-04-06,short,24185.2,24147.8,37.4,24134.8,24185.2,24097.4,24185.2,STOP,-207.79,9774.56
2026-04-07,short,24132.8,24032.05,100.75,24021.7,24132.8,23920.95,23920.95,TARGET,144.44,9918.99
2026-04-08,long,25067.7,25023.45,44.25,25076.7,25023.45,25120.95,25023.45,STOP,-184.09,9734.9
2026-04-09,long,24912.85,24866.05,46.8,24929.15,24866.05,24975.95,24866.05,STOP,-201.56,9533.34
2026-04-10,short,25219.4,25140.35,79.05,25137.1,25219.4,25058.05,25219.4,STOP,-151.59,9381.75
2026-04-13,long,25033.2,24974.45,58.75,25042.35,24974.45,25101.1,25101.1,TARGET,137.13,9518.88
2026-04-14,short,25571.7,25518.15,53.55,25515.9,25571.7,25462.35,25571.7,STOP,-152.78,9366.1
2026-04-15,long,25862.6,25826.6,36.0,25880.1,25826.6,25916.1,25916.1,TARGET,134.64,9500.73
2026-04-16,long,26290.8,26252.55,38.25,26298.4,26252.55,26336.65,26252.55,STOP,-176.42,9324.32
2026-04-17,long,26607.5,26464.1,143.4,26641.0,26464.1,26784.4,26665.25,FORCE_CLOSE,22.19,9346.51
2026-04-20,long,26642.6,26578.2,64.4,26643.6,26578.2,26708.0,26578.2,STOP,-145.64,9200.87
2026-04-21,short,26741.6,26680.6,61.0,26680.5,26741.6,26619.5,26619.5,TARGET,134.62,9335.49
2026-04-22,long,26750.9,26693.9,57.0,26754.5,26693.9,26811.5,26693.9,STOP,-152.56,9182.93
2026-04-23,long,26923.4,26830.9,92.5,26932.75,26830.9,27025.25,27025.25,TARGET,135.51,9318.44
2026-04-24,short,27174.85,27081.2,93.65,27048.05,27174.85,26954.4,27174.85,STOP,-191.49,9126.94
2026-04-27,short,27317.65,27270.0,47.65,27246.75,27317.65,27199.1,27199.1,TARGET,132.59,9259.54
2026-04-28,long,27039.65,26922.75,116.9,27042.65,26922.75,27159.55,26922.75,STOP,-144.24,9115.3
2026-04-29,short,27137.65,27082.15,55.5,27033.75,27137.65,26978.25,27137.65,STOP,-259.66,8855.63
